Inputs,Sorted Dynamic Array,Sorted Linked List,Ratio
24100,3.01336,3.74986,1.24441
24200,3.03076,3.85512,1.272
24300,3.02435,3.80259,1.25732
24400,2.9571,3.78846,1.28114
24500,2.93851,3.69207,1.25644
24600,2.9892,3.8691,1.29436
24700,3.01573,3.78591,1.25539
24800,3.01312,3.84749,1.27691
24900,3.04616,3.85598,1.26585
25000,3.08132,3.98994,1.29488
25100,3.10008,3.91617,1.26325
25200,3.11533,4.05077,1.30027
25300,3.15407,4.01307,1.27235
25400,3.15911,4.13394,1.30858
25500,3.18293,4.05258,1.27322
25600,3.24578,4.21013,1.29711
25700,3.23427,4.153,1.28406
25800,3.24581,4.27796,1.31799
25900,3.27942,4.24612,1.29478
26000,3.35005,4.405,1.31491
26100,3.37235,4.36698,1.29494
26200,3.35524,4.4883,1.3377
26300,3.41653,4.4752,1.30987
26400,3.45086,4.59086,1.33035
26500,3.41741,4.46639,1.30695
26600,3.44174,4.63728,1.34737
26700,3.52089,4.59037,1.30375
26800,3.52925,4.75501,1.34731
26900,3.56628,4.69879,1.31756
27000,3.53356,4.78356,1.35375
27100,3.57404,4.75208,1.32961
27200,3.60683,4.95772,1.37454
27300,3.62311,4.89143,1.35006
27400,3.61592,4.96746,1.37377
27500,3.67464,4.90214,1.33405
27600,3.70823,5.06303,1.36535
27700,3.71837,5.02478,1.35134
27800,3.71658,5.11637,1.37663
27900,3.76263,5.12443,1.36193
28000,3.8076,5.32583,1.39874
28100,3.78669,5.19159,1.37101
28200,3.84723,5.35292,1.39137
28300,3.84327,5.2821,1.37438
28400,3.85236,5.37053,1.39409
28500,3.93073,5.41587,1.37783
28600,3.91757,5.44552,1.39002
28700,3.92192,5.41608,1.38098
28800,3.98097,5.63444,1.41534
28900,4.00161,5.5386,1.38409
29000,4.03221,5.74129,1.42386
29100,4.06665,5.68505,1.39797
29200,4.06549,5.82143,1.43191
29300,4.15684,5.81666,1.3993
29400,4.10663,5.91511,1.44038
29500,4.18862,5.87015,1.40145
29600,4.18719,6.03462,1.44121
29700,4.19804,5.94434,1.41598
29800,4.22044,6.0533,1.43428
29900,4.25094,6.03486,1.41965
30000,4.23781,6.13407,1.44746
30100,4.26618,6.10124,1.43014
30200,4.31205,6.32353,1.46648
30300,4.37508,6.29712,1.43932
30400,4.3986,6.53992,1.48682
30500,4.46214,6.43867,1.44296
30600,4.44402,6.55129,1.47418
30700,4.44949,6.52981,1.46754
30800,4.49263,6.7406,1.50037
30900,4.5253,6.58211,1.45451
31000,4.52859,6.75958,1.49265
31100,4.50899,6.59069,1.46168
31200,4.60561,6.97454,1.51436
31300,4.60694,6.83969,1.48465
31400,4.63546,7.03982,1.51869
31500,4.61526,6.80338,1.47411
31600,4.68936,7.12547,1.5195
31700,4.71299,7.08601,1.50351
31800,4.72717,7.262,1.53623
31900,4.80782,7.18994,1.49547
32000,4.80713,7.35093,1.52917
32100,4.9422,7.5568,1.52904
32200,5.13609,7.9114,1.54036
32300,5.13442,7.851,1.52909
32400,4.96984,7.8209,1.57367
32500,4.97702,7.65554,1.53818
32600,4.9199,7.80633,1.58669
32700,4.94903,7.54094,1.52372
32800,4.97067,7.8699,1.58327
32900,5.18898,8.02934,1.54738
33000,5.22236,8.29805,1.58894
33100,5.13592,7.90273,1.53872
33200,5.14108,8.13481,1.58232
33300,5.22712,7.93821,1.51866
33400,5.23977,8.31006,1.58596
33500,5.23061,8.06645,1.54216
33600,5.29677,8.35013,1.57646
33700,5.33139,8.2475,1.54697
33800,5.40823,8.59675,1.58957
33900,5.46521,8.43236,1.54292
34000,5.49275,8.70578,1.58496
34100,5.5106,8.62391,1.56497
34200,5.52896,8.82755,1.5966
34300,5.62395,8.66242,1.54027
34400,5.64013,8.95467,1.58767
34500,5.62127,8.64618,1.53812
34600,5.70843,9.07863,1.59039
34700,5.73558,8.86135,1.54498
